video,labelName,label,sampleIndex,earMean,earMin,earStd,marMean,marMax,marStd,perclos,eyesClosedRatio,yawnCount
video-1-alert.mkv,alert,0,65,0.305,0.2494,0.021,0.0022,0.0041,0.0009,0.0,0.0,0
video-1-alert.mkv,alert,0,66,0.3075,0.2244,0.021,0.0022,0.0045,0.001,0.0,0.0,0
video-1-alert.mkv,alert,0,67,0.3029,0.2244,0.0235,0.0021,0.0045,0.001,0.0,0.0,0
video-1-alert.mkv,alert,0,68,0.2982,0.2244,0.0235,0.0021,0.0045,0.0009,0.0,0.0,0
video-1-alert.mkv,alert,0,69,0.2961,0.2244,0.0228,0.0022,0.0048,0.0011,0.0,0.0,0
video-1-alert.mkv,alert,0,70,0.2938,0.2244,0.0221,0.0022,0.0048,0.0011,0.0,0.0,0
video-1-alert.mkv,alert,0,71,0.2951,0.2244,0.0224,0.002,0.0048,0.0011,0.0,0.0,0
video-1-alert.mkv,alert,0,72,0.2929,0.0856,0.0424,0.0045,0.0736,0.0129,0.0333,0.0,0
video-1-alert.mkv,alert,0,73,0.2951,0.0856,0.0431,0.0046,0.0736,0.0129,0.0333,0.0,0
video-1-alert.mkv,alert,0,74,0.2809,0.0856,0.0671,0.0046,0.0736,0.0129,0.1333,0.0,0
video-1-alert.mkv,alert,0,75,0.2828,0.0856,0.0679,0.0046,0.0736,0.0129,0.1333,0.0,0
video-1-alert.mkv,alert,0,76,0.2819,0.0856,0.0673,0.0048,0.0736,0.0128,0.1333,0.0,0
video-1-alert.mkv,alert,0,77,0.2794,0.0856,0.0673,0.0051,0.0736,0.0128,0.1333,0.0,0
video-1-alert.mkv,alert,0,78,0.2779,0.0638,0.0691,0.0027,0.005,0.0011,0.1333,0.0,0
video-1-alert.mkv,alert,0,79,0.2665,0.0638,0.0741,0.0027,0.005,0.001,0.2333,0.0333,0
video-1-alert.mkv,alert,0,80,0.2831,0.0638,0.0576,0.003,0.006,0.0011,0.1333,0.0333,0
video-1-alert.mkv,alert,0,81,0.2745,0.0638,0.0675,0.003,0.006,0.001,0.1667,0.0333,0
video-1-alert.mkv,alert,0,82,0.2777,0.0638,0.069,0.0029,0.006,0.0012,0.1667,0.0333,0
video-1-alert.mkv,alert,0,83,0.2719,0.0638,0.077,0.0027,0.006,0.0012,0.2,0.0333,0
video-1-alert.mkv,alert,0,84,0.2781,0.081,0.0661,0.0024,0.006,0.0013,0.1667,0.0333,0
